user_id,group,converted
1,A,0
2,A,0
3,A,0
4,A,0
5,A,0
6,A,0
7,A,0
8,A,0
9,A,0
10,A,0
11,A,1
12,A,0
13,A,0
14,A,0
15,A,0
16,A,0
17,A,0
18,A,0
19,A,0
20,A,0
21,A,0
22,A,0
23,A,0
24,A,0
25,A,0
26,A,0
27,A,0
28,A,0
29,A,0
30,A,0
31,A,0
32,A,0
33,A,0
34,A,0
35,A,0
36,A,0
37,A,0
38,A,0
39,A,0
40,A,0
41,A,0
42,A,0
43,A,0
44,A,0
45,A,0
46,A,0
47,A,0
48,A,0
49,A,0
50,A,0
51,A,0
52,A,0
53,A,0
54,A,0
55,A,0
56,A,0
57,A,0
58,A,0
59,A,0
60,A,0
61,A,0
62,A,0
63,A,0
64,A,0
65,A,0
66,A,0
67,A,0
68,A,0
69,A,0
70,A,0
71,A,0
72,A,0
73,A,0
74,A,0
75,A,0
76,A,0
77,A,0
78,A,0
79,A,0
80,A,0
81,A,0
82,A,0
83,A,0
84,A,0
85,A,0
86,A,0
87,A,0
88,A,0
89,A,0
90,A,0
91,A,0
92,A,0
93,A,0
94,A,0
95,A,0
96,A,0
97,A,0
98,A,0
99,A,0
100,A,0
101,B,1
102,B,1
103,B,1
104,B,1
105,B,1
106,B,1
107,B,1
108,B,1
109,B,1
110,B,1
111,B,1
112,B,1
113,B,1
114,B,1
115,B,1
116,B,1
117,B,1
118,B,1
119,B,1
120,B,1
121,B,1
122,B,1
123,B,1
124,B,1
125,B,1
126,B,0
127,B,0
128,B,0
129,B,0
130,B,0
131,B,0
132,B,0
133,B,0
134,B,0
135,B,0
136,B,0
137,B,0
138,B,0
139,B,0
140,B,0
141,B,0
142,B,0
143,B,0
144,B,0
145,B,0
146,B,0
147,B,0
148,B,0
149,B,0
150,B,0
151,B,0
152,B,0
153,B,0
154,B,0
155,B,0
156,B,0
157,B,0
158,B,0
159,B,0
160,B,0
161,B,0
162,B,0
163,B,0
164,B,0
165,B,0
166,B,0
167,B,0
168,B,0
169,B,0
170,B,0
171,B,0
172,B,0
173,B,0
174,B,0
175,B,0
176,B,0
177,B,0
178,B,0
179,B,0
180,B,0
181,B,0
182,B,0
183,B,0
184,B,0
185,B,0
186,B,0
187,B,0
188,B,0
189,B,0
190,B,0
191,B,0
192,B,0
193,B,0
194,B,0
195,B,0
196,B,0
197,B,0
198,B,0
199,B,0
200,B,0
